fetched_utc,source,filename,stored_as,vintage,data_through,variant_by_name,variant_by_content,firm_type,n_cols,n_rows,bytes,sha256,last_modified,etag,url
2026-09-10T20:09:44+00:00,index,ia03052025-exempt.xlsx,ia03052025-exempt.xlsx,2025-03-05,2025-03-02,exempt,exempt,ERA,171,5658,3603721,bb08b3c65fd1ac8c4587ac61ccb946e5bad1afb3ee0cf8e9263c6dc0f2b390d9,"Mon, 15 Sep 2025 20:02:40 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia03052025-exempt.xlsx
2026-09-10T20:09:46+00:00,index,ia06012026-exempt_0.zip,ia06012026-exempt_0.zip,2026-06-01,2026-05-30,exempt,exempt,ERA,171,6551,843227,8d0475abe8b9e835bbf9b6390210cc1c61c9e0dbd7193903a3aba8658d0e1f5b,"Fri, 05 Jun 2026 18:14:04 GMT",,https://www.sec.gov/files/investment/data/other/information-about-registered-investment-advisers-exempt-reporting-advisers/ia06012026-exempt_0.zip
2026-09-10T20:09:48+00:00,index,ia07012025-exempt.xlsx,ia07012025-exempt.xlsx,2025-07-01,2025-06-30,exempt,exempt,ERA,171,5819,3702022,f496822ac9855f56ff78c8c31417d87543f6b377128fb1d3e8dc2c1a4069ceb3,"Mon, 15 Sep 2025 20:04:21 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia07012025-exempt.xlsx
2026-09-10T20:09:51+00:00,index,ia07012025.xlsx,ia07012025.xlsx,2025-07-01,2025-06-30,unmarked,registered,Registered,448,16245,20398579,46b65dd02389a4a6b7e2f04d64ee5e77a8f1e1f3c8cf3d5a9499c49791349b67,"Mon, 15 Sep 2025 20:04:11 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia07012025.xlsx
2026-09-10T20:09:53+00:00,index,ia07012026-exempt.zip,ia07012026-exempt.zip,2026-07-01,2026-06-30,exempt,exempt,ERA,171,6535,840628,2750a403631adf136844e5ba0012d0e2cf3c03e56de29ee12a7e68213961aecb,"Wed, 01 Jul 2026 11:41:55 GMT",,https://www.sec.gov/files/investment/data/other/information-about-registered-investment-advisers-exempt-reporting-advisers/ia07012026-exempt.zip
2026-09-10T20:09:55+00:00,index,ia07012026.zip,ia07012026.zip,2026-07-01,2026-06-30,unmarked,registered,Registered,448,16935,5272735,f7b9636b8011611289802a6b581688f32f09176c7307760a1a33e64f161ad98d,"Wed, 01 Jul 2026 11:41:41 GMT",,https://www.sec.gov/files/investment/data/other/information-about-registered-investment-advisers-exempt-reporting-advisers/ia07012026.zip
2026-09-10T20:09:56+00:00,index,ia08012025-exempt.xlsx,ia08012025-exempt.xlsx,2025-08-01,2025-07-31,exempt,exempt,ERA,171,5868,3731557,1a9e5c1463c0d1d017323436f8741ac5c6a08768dea8e72ec7236d516f5d9ebc,"Mon, 15 Sep 2025 20:05:24 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia08012025-exempt.xlsx
2026-09-10T20:09:59+00:00,index,ia08012025.xlsx,ia08012025.xlsx,2025-08-01,2025-07-31,unmarked,registered,Registered,447,16359,20497059,5571262d7c70c846230021ab6620859771df56f90ab469c9d3526c4de721c6a2,"Mon, 15 Sep 2025 20:06:20 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia08012025.xlsx
2026-09-10T20:10:01+00:00,index,ia08032026-exempt_1.zip,ia08032026-exempt_1.zip,2026-08-03,2026-08-02,exempt,exempt,ERA,171,6604,848786,e47e734fbb992e4747d5ed1f8b497492f2c4be416c1e775108784015cb4e5da3,"Mon, 10 Aug 2026 13:22:28 GMT",,https://www.sec.gov/files/investment/data/other/information-about-registered-investment-advisers-exempt-reporting-advisers/ia08032026-exempt_1.zip
2026-09-10T20:10:04+00:00,index,ia08032026_1.zip,ia08032026_1.zip,2026-08-03,2026-08-02,unmarked,registered,Registered,448,17018,5295981,25838ae0c5bab2f25249f3a83a606315166d2ee0ec48bfa4b1b5df2620f781cc,"Mon, 10 Aug 2026 13:21:15 GMT",,https://www.sec.gov/files/investment/data/other/information-about-registered-investment-advisers-exempt-reporting-advisers/ia08032026_1.zip
