Organization CRD#,Primary Business Name,5F(2)(c),5A,1I,Total Number of Website Addresses,Main Office State,Main Office City,SEC Current Status,SEC Status Effective Date,Latest ADV Filing Date,_aum,_band,_emp,_site,_new_registration
5871,"FIRST GEORGETOWN SECURITIES, INC","           115,737,800.00",4,Y,1,VA,ALEXANDRIA,Approved,08/05/2026,08/12/2026,115737800.0,$100-500M,4,True,True
6290,"BRIDGEVIEW CAPITAL ADVISORS, INC.","           114,131,548.00",2,Y,6,CA,EL DORADO HILLS,Approved,06/26/2026,06/30/2026,114131548.0,$100-500M,2,True,True
8040,"J K R & COMPANY, INC.","           136,316,266.00",5,Y,1,CA,VAN NUYS,Approved,05/26/2026,05/26/2026,136316266.0,$100-500M,5,True,True
8425,"RJJ PASADENA SECURITIES, INC.","           110,288,148.00",2,N,0,NV,HENDERSON,Approved,04/27/2026,06/12/2026,110288148.0,$100-500M,2,False,True
13478,WORTH FINANCIAL GROUP INC.,"           122,831,881.00",11,Y,3,TX,DALLAS,Approved,04/22/2026,04/21/2026,122831881.0,$100-500M,11,True,True
14553,POTOMAC INVESTMENT COMPANY,"           106,972,702.00",2,N,0,,,Approved,04/06/2026,08/20/2026,106972702.0,$100-500M,2,False,True
23189,MISSIONSQUARE WEALTH MANAGEMENT,                      .00,208,Y,7,DC,WASHINGTON,Approved,02/18/2026,07/27/2026,0.0,$0 reported,208,True,True
24723,"INDEPENDENCE CAPITAL CO., INC.","           118,696,378.00",43,Y,1,OH,PARMA,Approved,08/06/2026,07/24/2026,118696378.0,$100-500M,43,True,True
26193,ALAMO CAPITAL,"           103,590,000.00",20,Y,5,CA,WALNUT CREEK,Approved,04/02/2026,03/13/2026,103590000.0,$100-500M,20,True,True
28352,"LANDOLT SECURITIES, INC.","           137,829,035.00",14,Y,4,IL,LAKE BLUFF,Approved,02/23/2026,06/29/2026,137829035.0,$100-500M,14,True,True
43272,FLORIDA ATLANTIC SECURITIES CORP.,"           590,035,263.00",4,Y,1,FL,MIAMI,Approved,08/05/2026,07/22/2026,590035263.0,$500M-1B,4,True,True
105589,"SCOFIELD & COMPANY, LLC","           113,566,394.00",5,N,0,OH,FAIRLAWN,Approved,08/21/2026,08/03/2026,113566394.0,$100-500M,5,False,True
105634,PETERSON INVESTMENT MANAGEMENT INC,"           146,121,289.00",2,N,0,,,Approved,08/27/2026,08/26/2026,146121289.0,$100-500M,2,False,True
106604,ABENS FINANCIAL SERVICES INC,"           120,118,491.00",3,Y,1,MN,EDINA,Approved,04/23/2026,03/23/2026,120118491.0,$100-500M,3,True,True
106701,KINNAMON & ASSOCIATES LTD II,"           117,562,180.00",7,Y,1,IL,BARRINGTON,Approved,04/08/2026,04/10/2026,117562180.0,$100-500M,7,True,True
106702,DEMERS FINANCIAL PLANNING,"           125,324,415.00",2,Y,1,OH,COLUMBUS,Approved,05/14/2026,05/12/2026,125324415.0,$100-500M,2,True,True
106963,"HOWLAND AND ASSOCIATES, LLC","           138,704,932.00",5,Y,8,FL,ST PETERSBURG,Approved,08/13/2026,08/11/2026,138704932.0,$100-500M,5,True,True
107041,A. J. PERRY & CO.,"           108,760,000.00",2,N,0,MD,TOWSON,Approved,01/08/2026,02/18/2026,108760000.0,$100-500M,2,False,True
108082,JAFFE ASSET MANAGEMENT LLC,"           116,219,162.00",2,N,0,CA,BEVERLY HILLS,Approved,04/29/2026,06/02/2026,116219162.0,$100-500M,2,False,True
108351,CFG WEALTH MANAGEMENT SERVICES INC,"           110,201,914.00",2,Y,3,IN,INDIANAPOLIS,Approved,04/20/2026,03/19/2026,110201914.0,$100-500M,2,True,True
108489,FINANCIAL MOUNTAIN INC,"           111,337,000.00",2,Y,3,CO,BOULDER,Approved,01/22/2026,12/22/2025,111337000.0,$100-500M,2,True,True
108682,SILER WEALTH MANAGEMENT,"           188,567,348.00",6,Y,2,FL,LONGWOOD,Approved,01/12/2026,03/30/2026,188567348.0,$100-500M,6,True,True
108762,RITTMANN CAPITAL MANAGEMENT CO,"           142,436,898.00",1,Y,1,CA,MORAGA,Approved,01/12/2026,01/09/2026,142436898.0,$100-500M,1,True,True
109303,"LASALLE INVESTMENT ADVISORS, INC.","           133,609,468.00",5,N,0,WI,PEWAUKEE,Approved,03/31/2026,03/31/2026,133609468.0,$100-500M,5,False,True
109624,WEBER CAPITAL MANAGEMENT LLC,"           120,225,941.00",1,Y,1,,,Approved,04/13/2026,04/30/2026,120225941.0,$100-500M,1,True,True
109691,"SMBC ASSET MANAGEMENT, INC.",                      .00,6,N,0,NY,NEW YORK,120-Day Approval,05/29/2026,05/08/2026,0.0,$0 reported,6,False,True
110097,DORATO CAPITAL MANAGEMENT,"           138,742,554.00",3,Y,1,,,Approved,02/10/2026,01/23/2026,138742554.0,$100-500M,3,True,True
110401,POWERS INVESTMENT ADVISORY CORPORATION,"           111,579,096.00",2,Y,1,,,Approved,01/02/2026,01/06/2026,111579096.0,$100-500M,2,True,True
110803,SAFE HARBOR RETIREMENT PLANNERS,"           108,670,330.00",4,Y,6,,,Approved,06/26/2026,07/15/2026,108670330.0,$100-500M,4,True,True
111246,"PAVLIC INVESTMENT ADVISORS, INC.","           108,843,269.00",2,Y,2,WI,DELAFIELD,Approved,05/05/2026,05/04/2026,108843269.0,$100-500M,2,True,True
